Name,Link
"The Open University

                1051 courses",/university/tou
"Stanford University

                733 courses",/university/stanford
"Indian Institute of Technology, Kharagpur

                517 courses",/university/iit-kharagpur
"University of Michigan

                453 courses",/university/umich
"Massachusetts Institute of Technology

                415 courses",/university/mit
"Indian Institute of Technology Madras

                384 courses",/university/iitm
"Johns Hopkins University

                369 courses",/university/jhu
"Indian Institute of Technology Kanpur

                332 courses",/university/iitk
"University of Colorado Boulder

                320 courses",/university/boulder
"University of Illinois at Urbana-Champaign

                272 courses",/university/illinois
"University of California, Irvine

                266 courses",/university/uci
"Dartmouth College

                265 courses",/university/dartmouth
"University of Pennsylvania

                251 courses",/university/penn
"Harvard University

                239 courses",/university/harvard
"Coventry University

                238 courses",/university/coventry
"Indian Institute of Technology Roorkee

                237 courses",/university/iit-roorkee
"IGNOU

                226 courses",/university/ignou
"Saint Petersburg State University

                214 courses",/university/spbu
"Tecnológico de Monterrey

                201 courses",/university/tecdemonterrey
"Indian Institute of Technology Guwahati

                197 courses",/university/iit-guwahati
"University of Naples Federico II

                191 courses",/university/university-of-naples
"Delft University of Technology

                189 courses",/university/delft
"Higher School of Economics

                171 courses",/university/hse
"Indian Institute of Technology Bombay

                168 courses",/university/iitb
"The University of Chicago 

                163 courses",/university/chicago
"Universitat Politècnica de València

                160 courses",/university/upv
"Georgia Institute of Technology

                159 courses",/university/gatech
"École Polytechnique Fédérale de Lausanne

                154 courses",/university/epfl
"Moscow Institute of Physics and Technology

                152 courses",/university/mipt
"Rice University

                140 courses",/university/rice
"Universidad Nacional Autónoma de México

                139 courses",/university/unam
"University of California, San Diego 

                138 courses",/university/ucsd
"University of Colorado System

                135 courses",/university/cusystem
"Fundação Instituto de Administração

                128 courses",/university/fia
"University of Leeds

                127 courses",/university/leeds
"University System of Maryland

                125 courses",/university/usmd
"Arizona State University

                120 courses",/university/asu
"Universidad del Rosario

                120 courses",/university/rosario
"Duke University

                119 courses",/university/duke
"Purdue University

                116 courses",/university/purdue
"Peking University

                113 courses",/university/pku
"Alfaisal University

                112 courses",/university/alfaisal
"Indian Institute of Science Bangalore

                112 courses",/university/iisc
"Indian Institute of Technology Delhi

                112 courses",/university/iitd
"University of Virginia

                111 courses",/university/uva
"Columbia University

                110 courses",/university/columbia
"University of California, Davis

                108 courses",/university/ucdavis
"Brown University

                104 courses",/university/brown
"Indian Institute of Management Bangalore

                104 courses",/university/iimb
"Universidad de los Andes

                103 courses",/university/uniandes
"University of Edinburgh

                98 courses",/university/edinburgh
"The Pontificia Universidad Javeriana

                97 courses",/university/javeriana
"Politecnico di Milano

                97 courses",/university/polimi
"Tsinghua University

                96 courses",/university/tsinghua
"Yale University

                96 courses",/university/yale
"Universidad Anáhuac

                94 courses",/university/anahuac
"Tomsk State University

                92 courses",/university/tomsk-state
"The Hong Kong University of Science and Technology

                91 courses",/university/hkust
"University of Minnesota

                90 courses",/university/minnesota
"University of Queensland

                90 courses",/university/uq
"The University of British Columbia

                87 courses",/university/ubc
"Imperial College London

                86 courses",/university/imperial
"Institut Mines-Télécom

                85 courses",/university/fr-mines-telecom
"Macquarie University

                85 courses",/university/macquarie
"State University of New York

                85 courses",/university/suny
"University of Maryland, College Park

                85 courses",/university/umd
"University of Washington

                85 courses",/university/uw
"Universidad Politécnica de Madrid

                84 courses",/university/upm
"National Research Nuclear University MEPhI

                80 courses",/university/mephi
"Deakin University

                79 courses",/university/deakin
"National Taiwan University

                78 courses",/university/taiwan
"Berklee College of Music

                76 courses",/university/berklee
"Doane University

                76 courses",/university/doane
"University of Glasgow

                75 courses",/university/glasgow
"University of California, Berkeley

                74 courses",/university/berkeley
"University of London International Programmes

                68 courses",/university/london
"Wageningen University

                65 courses",/university/wageningenur
"Universitat Autònoma de Barcelona (Autonomous University of Barcelona)

                64 courses",/university/uab
"Galileo University

                63 courses",/university/galileo
"Hong Kong Polytechnic University

                60 courses",/university/hkpolyu
"Pontificia Universidad Católica de Chile

                60 courses",/university/ucchile
"University of Geneva

                59 courses",/university/unige
"University of Toronto

                59 courses",/university/utoronto
"Michigan State University

                58 courses",/university/mst
"Northwestern University

                58 courses",/university/northwestern
"Université catholique de Louvain

                58 courses",/university/uclouvain
"The University of Texas at Austin

                58 courses",/university/utexas
"Universidad Austral

                56 courses",/university/austral
"IE Business School

                55 courses",/university/ie
"University System of Georgia

                53 courses",/university/usg
"New York University (NYU)

                52 courses",/university/nyu
"Chiang Mai University

                51 courses",/university/cmuniv
"Emory University

                51 courses",/university/emory
"RWTH Aachen University

                50 courses",/university/aachen
"École Polytechnique

                50 courses",/university/ep
"ESSEC Business School

                49 courses",/university/essec
"Leiden University

                49 courses",/university/leiden
"Universidad de Palermo

                49 courses",/university/palermo
"Naresuan University

                47 courses",/university/nu
"Universidad Autónoma de Madrid

                47 courses",/university/uam
"Universidad Carlos iii de Madrid

                47 courses",/university/uc3m
"Curtin University

                46 courses",/university/curtin
"University College London

                45 courses",/university/ucl
"Yonsei University

                44 courses",/university/yonsei
"University of Reading

                43 courses",/university/reading
"University of Melbourne

                43 courses",/university/unimelb
"Moscow State Institute of International Relations (MGIMO)

                42 courses",/university/mgimo
"Wesleyan University

                42 courses",/university/wesleyan
"Erasmus University Rotterdam

                41 courses",/university/erasmus
"University of Kent

                41 courses",/university/kent
"Rochester Institute of Technology

                41 courses",/university/rit
"St. Petersburg State Polytechnic University

                40 courses",/university/spbpu
"Sukhothai Thammathirat Open University

                40 courses",/university/stou
"University at Buffalo

                40 courses",/university/ubuffalo
"Vanderbilt University

                40 courses",/university/vanderbilt
"California Institute of the Arts

                39 courses",/university/calarts
"The University of Hong Kong

                39 courses",/university/hku
"National University of Singapore

                39 courses",/university/nus
"Pennsylvania State University

                39 courses",/university/psu
"Rutgers University

                39 courses",/university/rutgers
"Technische Universität München (Technical University of Munich)

                39 courses",/university/tum
"King's College London

                38 courses",/university/kcl
"University of Newcastle

                38 courses",/university/newcastle-au
"Princeton University

                38 courses",/university/princeton
"Waseda University

                37 courses",/university/waseda
"University of Birmingham

                36 courses",/university/birmingham
"Universidad Nacional de Córdoba

                36 courses",/university/cordoba
"Davidson College

                36 courses",/university/davidson
"University of Alaska Fairbanks

                36 courses",/university/uaf
"Korea Advanced Institute of Science and Technology

                35 courses",/university/kaist
"Université Paris-Saclay

                35 courses",/university/paris-saclay
"University of Alberta

                34 courses",/university/ualberta
"University of East Anglia

                34 courses",/university/uea
"English and Foreign Languages University

                33 courses",/university/eafluhi
"Monash University

                33 courses",/university/monash
"Queensland University of Technology

                33 courses",/university/qut
